03:03:55.640378	0	out
03:03:55.890072	0	out
03:03:55.892234	0	in
03:03:55.892283	0	out
03:03:55.892515	517	out
03:03:56.072090	0	in
03:03:56.072135	0	out
03:03:56.077655	0	in
03:03:56.077658	154	in
03:03:56.077698	0	out
03:03:56.077872	51	out
03:03:56.078294	93	out
03:03:56.078517	320	out
03:03:56.262611	0	in
03:03:56.262613	66	in
03:03:56.262641	0	out
03:03:56.262770	38	out
03:03:56.303765	0	in
03:03:56.365121	1448	in
03:03:56.365125	1340	in
03:03:56.365173	0	out
03:03:56.365183	1448	in
03:03:56.365185	1340	in
03:03:56.365188	1448	in
03:03:56.365190	1448	in
03:03:56.365205	0	out
03:03:56.365217	0	out
03:03:56.365286	0	out
03:03:56.365319	1448	in
03:03:56.365322	1232	in
03:03:56.365338	0	out
03:03:56.366070	1448	in
03:03:56.366528	0	out
03:03:56.446739	1448	in
03:03:56.446742	1448	in
03:03:56.446790	0	out
03:03:56.446839	0	out
03:03:56.447448	0	in
03:03:56.549671	1448	in
03:03:56.549674	1448	in
03:03:56.549731	0	out
03:03:56.550144	0	out
03:03:56.558726	1448	in
03:03:56.558729	1448	in
03:03:56.558762	0	out
03:03:56.559291	0	out
03:03:56.569720	1448	in
03:03:56.569723	1448	in
03:03:56.569758	0	out
03:03:56.570051	0	out
03:03:56.580914	1448	in
03:03:56.580916	1448	in
03:03:56.580951	0	out
03:03:56.581836	0	out
03:03:56.592294	1448	in
03:03:56.592297	1448	in
03:03:56.592333	0	out
03:03:56.595484	0	out
03:03:56.603027	1448	in
03:03:56.603031	1448	in
03:03:56.603067	0	out
03:03:56.604090	0	out
03:03:56.613926	1448	in
03:03:56.613929	1448	in
03:03:56.613965	0	out
03:03:56.614326	0	out
03:03:56.615674	122	out
03:03:56.615817	79	out
03:03:56.624948	1448	in
03:03:56.624951	1448	in
03:03:56.624986	0	out
03:03:56.625151	0	out
03:03:56.636090	1448	in
03:03:56.636093	1448	in
03:03:56.636137	0	out
03:03:56.636321	0	out
03:03:56.645914	1448	in
03:03:56.645917	1448	in
03:03:56.645955	0	out
03:03:56.646369	0	out
03:03:56.655938	1448	in
03:03:56.655942	1448	in
03:03:56.655979	0	out
03:03:56.656037	0	out
03:03:56.734124	1448	in
03:03:56.734127	1448	in
03:03:56.734169	0	out
03:03:56.734246	0	out
03:03:56.738570	1448	in
03:03:56.738573	1448	in
03:03:56.738608	0	out
03:03:56.738909	0	out
03:03:56.747417	1448	in
03:03:56.747419	1448	in
03:03:56.747451	0	out
03:03:56.747493	0	out
03:03:56.755512	1448	in
03:03:56.755515	1448	in
03:03:56.755546	0	out
03:03:56.755599	0	out
03:03:56.763157	1448	in
03:03:56.763159	1448	in
03:03:56.763192	0	out
03:03:56.763265	0	out
03:03:56.770908	1448	in
03:03:56.770910	1448	in
03:03:56.770934	0	out
03:03:56.770981	0	out
03:03:56.777932	1448	in
03:03:56.777935	1448	in
03:03:56.777963	0	out
03:03:56.778013	0	out
03:03:56.784613	1448	in
03:03:56.784615	1448	in
03:03:56.784641	0	out
03:03:56.784684	0	out
03:03:56.791390	1448	in
03:03:56.791392	1448	in
03:03:56.791416	0	out
03:03:56.791466	0	out
03:03:56.797603	1448	in
03:03:56.797606	1448	in
03:03:56.797637	0	out
03:03:56.797689	0	out
03:03:56.803638	1448	in
03:03:56.803640	1448	in
03:03:56.803660	0	out
03:03:56.803697	0	out
03:03:56.809857	1448	in
03:03:56.809859	1448	in
03:03:56.809860	0	in
03:03:56.809884	0	out
03:03:56.809940	0	out
03:03:56.815281	1448	in
03:03:56.815283	1448	in
03:03:56.815301	0	out
03:03:56.815329	0	out
03:03:56.821048	1448	in
03:03:56.821050	1448	in
03:03:56.821074	0	out
03:03:56.821112	0	out
03:03:56.826382	1448	in
03:03:56.826384	1448	in
03:03:56.826407	0	out
03:03:56.826453	0	out
03:03:56.831663	1448	in
03:03:56.831665	1448	in
03:03:56.831695	0	out
03:03:56.831741	0	out
03:03:56.836735	1448	in
03:03:56.836737	1448	in
03:03:56.836757	0	out
03:03:56.836777	0	out
03:03:56.841974	1448	in
03:03:56.841977	1448	in
03:03:56.841997	0	out
03:03:56.842032	0	out
03:03:56.846759	1448	in
03:03:56.846762	1448	in
03:03:56.846803	0	out
03:03:56.846849	0	out
03:03:56.851637	1448	in
03:03:56.851638	1448	in
03:03:56.851654	0	out
03:03:56.851684	0	out
03:03:56.856890	1448	in
03:03:56.856891	1448	in
03:03:56.856900	0	out
03:03:56.856918	0	out
03:03:56.861281	1448	in
03:03:56.861283	1448	in
03:03:56.861304	0	out
03:03:56.861348	0	out
03:03:56.918476	1448	in
03:03:56.918479	1448	in
03:03:56.918513	0	out
03:03:56.918571	0	out
03:03:56.920754	1448	in
03:03:56.920756	1448	in
03:03:56.920783	0	out
03:03:56.920884	0	out
03:03:56.925529	1448	in
03:03:56.925531	1448	in
03:03:56.925558	0	out
